"CountyName","AverageIncome","CountyId","StateId"
"DeKalb County, Georgia","34209","89","13"
"Dougherty County, Georgia","21438","95","13"
"Douglas County, Georgia","31405","97","13"
"Fayette County, Georgia","38981","113","13"
"Floyd County, Georgia","23627","115","13"
"Forsyth County, Georgia","45932","117","13"
"Fulton County, Georgia","38206","121","13"
"Glynn County, Georgia","26500","127","13"
"Gwinnett County, Georgia","32467","135","13"
"Hall County, Georgia","28870","139","13"
"Henry County, Georgia","34252","151","13"
"Houston County, Georgia","32409","153","13"
"Jackson County, Georgia","31260","157","13"
"Lowndes County, Georgia","24983","185","13"
"Muscogee County, Georgia","25833","215","13"
"Newton County, Georgia","28037","217","13"
"Paulding County, Georgia","35327","223","13"
"Richmond County, Georgia","22347","245","13"
"Rockdale County, Georgia","31150","247","13"
"Spalding County, Georgia","25299","255","13"
"Troup County, Georgia","25276","285","13"
"Walker County, Georgia","22457","295","13"
"Walton County, Georgia","30859","297","13"
"Whitfield County, Georgia","25980","313","13"
"Hawaii County, Hawaii","29602","1","15"
"Honolulu County, Hawaii","36007","3","15"
"Kauai County, Hawaii","32116","7","15"
"Maui County, Hawaii","32283","9","15"
"Ada County, Idaho","33221","1","16"
"Bannock County, Idaho","25035","5","16"
"Bonneville County, Idaho","26898","19","16"
"Canyon County, Idaho","25292","27","16"
"Kootenai County, Idaho","28344","55","16"
"Twin Falls County, Idaho","27255","83","16"
"Adams County, Illinois","30889","1","17"
"Champaign County, Illinois","28424","19","17"
"Cook County, Illinois","33623","31","17"
"DeKalb County, Illinois","29825","37","17"
"DuPage County, Illinois","41534","43","17"
"Kane County, Illinois","33912","89","17"
"Kankakee County, Illinois","25615","91","17"
"Kendall County, Illinois","41162","93","17"
"Lake County, Illinois","36706","97","17"
"LaSalle County, Illinois","27580","99","17"
"McHenry County, Illinois","38763","111","17"
"McLean County, Illinois","33192","113","17"
"Macon County, Illinois","27728","115","17"
"Madison County, Illinois","30736","119","17"
"Peoria County, Illinois","30097","143","17"
"Rock Island County, Illinois","30455","161","17"
"St. Clair County, Illinois","31853","163","17"
"Sangamon County, Illinois","33799","167","17"
"Tazewell County, Illinois","32116","179","17"
"Vermilion County, Illinois","25321","183","17"
"Will County, Illinois","36546","197","17"
"Williamson County, Illinois","23798","199","17"
"Winnebago County, Illinois","28430","201","17"
"Allen County, Indiana","29741","3","18"
"Bartholomew County, Indiana","31481","5","18"
"Boone County, Indiana","40336","11","18"
"Clark County, Indiana","31995","19","18"
"Delaware County, Indiana","22493","35","18"
"Elkhart County, Indiana","29923","39","18"
"Floyd County, Indiana","35468","43","18"
"Grant County, Indiana","22204","53","18"
"Hamilton County, Indiana","45407","57","18"
"Hancock County, Indiana","36097","59","18"
"Hendricks County, Indiana","37331","63","18"
"Howard County, Indiana","30864","67","18"
"Johnson County, Indiana","34292","81","18"
