"CountyName","AverageIncome","CountyId","StateId"
"Sevier County, Tennessee","23022","155","47"
"Shelby County, Tennessee","27333","157","47"
"Sullivan County, Tennessee","24064","163","47"
"Sumner County, Tennessee","31907","165","47"
"Washington County, Tennessee","24825","179","47"
"Williamson County, Tennessee","45412","187","47"
"Wilson County, Tennessee","34359","189","47"
"Angelina County, Texas","23632","5","48"
"Bastrop County, Texas","30582","21","48"
"Bell County, Texas","29176","27","48"
"Bexar County, Texas","27154","29","48"
"Bowie County, Texas","28028","37","48"
"Brazoria County, Texas","36876","39","48"
"Brazos County, Texas","23983","41","48"
"Cameron County, Texas","19260","61","48"
"Collin County, Texas","44875","85","48"
"Comal County, Texas","35807","91","48"
"Coryell County, Texas","23121","99","48"
"Dallas County, Texas","31643","113","48"
"Denton County, Texas","40637","121","48"
"Ector County, Texas","33438","135","48"
"Ellis County, Texas","33449","139","48"
"El Paso County, Texas","21675","141","48"
"Fort Bend County, Texas","39556","157","48"
"Galveston County, Texas","35492","167","48"
"Grayson County, Texas","27959","181","48"
"Gregg County, Texas","27070","183","48"
"Guadalupe County, Texas","36076","187","48"
"Harris County, Texas","30950","201","48"
"Harrison County, Texas","24941","203","48"
"Hays County, Texas","31294","209","48"
"Henderson County, Texas","22741","213","48"
"Hidalgo County, Texas","19173","215","48"
"Hunt County, Texas","26910","231","48"
"Jefferson County, Texas","26183","245","48"
"Johnson County, Texas","32151","251","48"
"Kaufman County, Texas","30531","257","48"
"Liberty County, Texas","29014","291","48"
"Lubbock County, Texas","25715","303","48"
"McLennan County, Texas","24935","309","48"
"Midland County, Texas","38890","329","48"
"Montgomery County, Texas","36304","339","48"
"Nacogdoches County, Texas","20776","347","48"
"Nueces County, Texas","28594","355","48"
"Orange County, Texas","29724","361","48"
"Parker County, Texas","33812","367","48"
"Potter County, Texas","25569","375","48"
"Randall County, Texas","37015","381","48"
"Rockwall County, Texas","42365","397","48"
"San Patricio County, Texas","24441","409","48"
"Smith County, Texas","27242","423","48"
"Tarrant County, Texas","32314","439","48"
"Taylor County, Texas","26618","441","48"
"Tom Green County, Texas","26887","451","48"
"Travis County, Texas","40346","453","48"
"Victoria County, Texas","25768","469","48"
"Walker County, Texas","26276","471","48"
"Webb County, Texas","21503","479","48"
"Wichita County, Texas","23895","485","48"
"Williamson County, Texas","39214","491","48"
"Wise County, Texas","29909","497","48"
"Cache County, Utah","25060","5","49"
"Davis County, Utah","34208","11","49"
"Salt Lake County, Utah","34115","35","49"
"Tooele County, Utah","32313","45","49"
"Utah County, Utah","25912","49","49"
"Washington County, Utah","27778","53","49"
"Weber County, Utah","31485","57","49"
"Chittenden County, Vermont","34141","7","50"
"Albemarle County, Virginia","33623","3","51"
"Arlington County, Virginia","69130","13","51"
"Augusta County, Virginia","30965","15","51"
"Bedford County, Virginia","30433","19","51"
"Chesterfield County, Virginia","37432","41","51"
"Fairfax County, Virginia","51923","59","51"
"Fauquier County, Virginia","43889","61","51"
"Frederick County, Virginia","38430","69","51"
"Hanover County, Virginia","40703","85","51"
"Henrico County, Virginia","36417","87","51"
"James City County, Virginia","40001","95","51"
"Loudoun County, Virginia","60724","107","51"
"Montgomery County, Virginia","24488","121","51"
"Prince William County, Virginia","42373","153","51"
"Roanoke County, Virginia","35808","161","51"
"Rockingham County, Virginia","30852","165","51"
"Spotsylvania County, Virginia","39734","177","51"
"Stafford County, Virginia","44363","179","51"
"York County, Virginia","40918","199","51"
"Alexandria city, Virginia","60606","510","51"
"Chesapeake city, Virginia","37329","550","51"
"Hampton city, Virginia","31740","650","51"
"Lynchburg city, Virginia","20538","680","51"
"Newport News city, Virginia","29926","700","51"
"Norfolk city, Virginia","25725","710","51"
"Portsmouth city, Virginia","26181","740","51"
"Richmond city, Virginia","26829","760","51"
"Roanoke city, Virginia","23953","770","51"
"Suffolk city, Virginia","38100","800","51"
"Virginia Beach city, Virginia","38147","810","51"
"Benton County, Washington","31983","5","53"
"Chelan County, Washington","29373","7","53"
"Clallam County, Washington","29650","9","53"
"Clark County, Washington","36100","11","53"
"Cowlitz County, Washington","28381","15","53"
"Franklin County, Washington","29997","21","53"
"Grant County, Washington","26601","25","53"
"Grays Harbor County, Washington","24330","27","53"
"Island County, Washington","31242","29","53"
"King County, Washington","46003","33","53"
"Kitsap County, Washington","36363","35","53"
"Lewis County, Washington","28205","41","53"
"Mason County, Washington","27404","45","53"
"Pierce County, Washington","36793","53","53"
"Skagit County, Washington","34324","57","53"
"Snohomish County, Washington","40130","61","53"
"Spokane County, Washington","29780","63","53"
"Thurston County, Washington","37226","67","53"
"Whatcom County, Washington","30513","73","53"
"Yakima County, Washington","25401","77","53"
"Berkeley County, West Virginia","31691","3","54"
"Cabell County, West Virginia","21914","11","54"
"Kanawha County, West Virginia","24916","39","54"
"Monongalia County, West Virginia","25012","61","54"
"Raleigh County, West Virginia","21362","81","54"
"Wood County, West Virginia","25412","107","54"
"Brown County, Wisconsin","32006","9","55"
"Dane County, Wisconsin","39163","25","55"
"Dodge County, Wisconsin","32886","27","55"
"Eau Claire County, Wisconsin","29054","35","55"
"Fond du Lac County, Wisconsin","30211","39","55"
"Jefferson County, Wisconsin","31905","55","55"
"Kenosha County, Wisconsin","31561","59","55"
"La Crosse County, Wisconsin","30493","63","55"
"Manitowoc County, Wisconsin","30578","71","55"
"Marathon County, Wisconsin","32444","73","55"
"Milwaukee County, Wisconsin","29480","79","55"
"Outagamie County, Wisconsin","33970","87","55"
"Ozaukee County, Wisconsin","41661","89","55"
"Portage County, Wisconsin","30276","97","55"
"Racine County, Wisconsin","30844","101","55"
"Rock County, Wisconsin","30003","105","55"
"St. Croix County, Wisconsin","40162","109","55"
"Sheboygan County, Wisconsin","35143","117","55"
"Walworth County, Wisconsin","30555","127","55"
"Washington County, Wisconsin","40016","131","55"
"Waukesha County, Wisconsin","40275","133","55"
"Winnebago County, Wisconsin","30714","139","55"
"Wood County, Wisconsin","31739","141","55"
"Laramie County, Wyoming","32603","21","56"
"Natrona County, Wyoming","35061","25","56"
"Toa Baja Municipio, Puerto Rico","","137","72"
"Caguas Municipio, Puerto Rico","","25","72"
"Bayamón Municipio, Puerto Rico","","21","72"
"Trujillo Alto Municipio, Puerto Rico","","139","72"
"Harrison County, West Virginia","","33","54"
"San Juan Municipio, Puerto Rico","","127","72"
"Mayagüez Municipio, Puerto Rico","","97","72"
"Ponce Municipio, Puerto Rico","","113","72"
"Toa Alta Municipio, Puerto Rico","","135","72"
"Carolina Municipio, Puerto Rico","","31","72"
"Guaynabo Municipio, Puerto Rico","","61","72"
"Arecibo Municipio, Puerto Rico","","13","72"
